Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Price_range
Laddoo Gopal Sweets & Restaurant,"North Indian, Chinese, South Indian, Mithai, Street Food, Fast Food, Beverages",600," Shahdara, New Delhi",4.0,545,3.7,6976,https://www.zomato.com/ncr/laddoo-gopal-sweets-restaurant-shahdara-new-delhi,"C-543, Chhajupur, Main 100 Feet Road, Shahdara, New Delhi",9.19774E+11,28.68940884,77.28566643,"Quiche, Cupcakes, Red Velvet, Cappuccino, Pastry, Desserts",Low(<600)
Raro,Bakery,800," Defence Colony Main Market, Defence Colony, New Delhi",4.0,443,4.3,160,https://www.zomato.com/ncr/raro-defence-colony-new-delhi,"19, Defence Colony Market, Defence Colony, New Delhi",9.11146E+11,28.5732879,77.23023824,"Dhaba Dal, Dahi Ke Sholey, Afghani Chaap, Honey Chilli Potatoes, Malai Chaap, Tandoori Chicken",Medium(600-100)
Mom's Kitchen,"North Indian, Chinese, Momos, Rolls, Fast Food, Bengali",450," Chittaranjan Park, New Delhi",4.0,264,3.9,6099,https://www.zomato.com/ncr/moms-kitchen-chittaranjan-park-new-delhi,"Shop 32, Market 4, Chittaranjan Park, New Delhi",9.19958E+11,28.53706507,77.24843167,"Chinese, Great Recommendations, Preparation, Portion, Great Taste, Best Place",Low(<600)
Aminia,"North Indian, Mughlai, Rolls, Biryani",800," Chittaranjan Park, New Delhi",4.0,358,4.1,2541,https://www.zomato.com/ncr/aminia-chittaranjan-park-new-delhi,"Shop 21, Market 3, Block A, Chittaranjan Park Road, Near Chittaranjan Park, New Delhi",9.1114E+11,28.54081188,77.24333715,"Stuffed Malai Chaap, Panner Butter Masala, Gulab Jamun, Dal Makhni, Paneer Tikka",Medium(600-100)
Shudh Vaishno Hotel,North Indian,450," Karampura, New Delhi",4.0,227,4.1,5550,https://www.zomato.com/ncr/shudh-vaishno-hotel-karampura-new-delhi,"T 32-34, Super Market, New Moti Nagar, Near Milan Cinema, Karampura, New Delhi",9.11145E+11,28.66215193,77.14615971,"Matka Murgh, Matki Chicken, Chicken Soup, Chicken Biryani, Butter Chicken",Low(<600)
Bawa's The Journey Of Spice,"North Indian, Mughlai, Chinese, Kebab, Rolls",800," Kirti Nagar, New Delhi",4.0,288,4.1,111,https://www.zomato.com/ncr/bawas-the-journey-of-spice-kirti-nagar-new-delhi,"42, DLF Industrial Area, Kirti Nagar, New Delhi",9.11125E+11,28.655247,77.14286562,"Tornado Potato, Banana Nutella, Crepes, Brownie Waffle, Chocolate Waffle, Pancake",Medium(600-100)
Golden China Hut,"Chinese, Burger, Momos, Rolls",400," Safdarjung, New Delhi",4.0,368,4.0,6575,https://www.zomato.com/ncr/golden-china-hut-safdarjung-new-delhi,"C 65, Arjun Nagar, Block B7, Near Chota Gurudwara, Safdarjung, New Delhi",9.19654E+11,28.5605387,77.19907533,"Prompt Service, Tasty Food, Music, Good Place, Worth the Money, Good Food",Low(<600)
Dosa Plaza,"South Indian, Chinese, North Indian, Beverages",450," Shahdara, New Delhi",4.0,230,4.0,4041,https://www.zomato.com/ncr/dosa-plaza-shahdara-new-delhi,"B-165, 1st Floor, Main Market Bhajanpura, Shahdara, New Delhi",9.196E+11,28.70143044,77.26038996,"Teekha Paneer, Chicken Salami Sandwich, Open Sandwich, Sandwiches, Pizzas",Low(<600)
Grover Mithaivala,"Mithai, Street Food, North Indian, Desserts",300," Jail Road, New Delhi",4.0,257,4.1,202,https://www.zomato.com/ncr/grover-mithaivala-jail-road-new-delhi,"B A-152/A, Near Red Light, Gurunanak Pura, Jail Road, New Delhi",9.11146E+11,28.63191694,77.09826082,"Veg Combo Platter, Chicken Shawarama, Barbeque Chicken, Soya Chaap Roll, Paneer Tikka Pizza, Shawarma",Low(<600)
Peshawari Chicken Corner,North Indian,500," Karol Bagh, New Delhi",4.0,298,4.0,3442,https://www.zomato.com/ncr/peshawari-chicken-corner-karol-bagh-new-delhi,"33-34 B, Prehlad Market, Ramjas Road, Karol Bagh, New Delhi",9.11129E+11,28.65442527,77.19025154,"Shehnai Chicken, Mughlai Food, Malai Kofta, Tandoori Chicken, Tikka, Dal Makhani",Low(<600)
