Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2
Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200," Pragati Maidan, New Delhi",4.9,3748,3.9,37,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",9.18E+11,28.613429,77.242471,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi"
Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600," Cyber Hub, DLF Cyber City, Gurgaon",4.9,2636,4.4,1238,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon",9.11E+11,28.49446439,77.08853245,"Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry"
Carnatic Cafe,South Indian,600," Lodhi Colony, New Delhi",4.9,2518,4.2,931,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi",9.20E+11,28.584296,77.226613,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare"
"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages",2500," Sector 15, Gurgaon",4.9,1299,3.8,25,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"SCO 23, Sector 15, Gurgaon",9.11E+11,28.45797541,77.0446267,"Classic Martini, Coktails, Bloody Mary, Calamari, Bacon, Pork"
Natural Ice Cream,"Ice Cream, Desserts",400," Connaught Place, New Delhi",4.9,4014,4.5,6969,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi",9.11E+11,28.63444917,77.22203437,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream"
Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700," Kailash Colony, New Delhi",4.8,2480,4.2,573,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi",9.11E+11,28.55293914,77.24094898,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry"
Comorin,"North Indian, Desserts, Beverages",2500," Two Horizon Center, Golf Course Road, Gurgaon",4.8,803,4.4,217,https://www.zomato.com/ncr/comorin-golf-course-road,"101, 1st Floor, Plaza Level, Two Horizon Center, Golf Course Road, Gurgaon",9.11E+11,28.45154524,77.0971011,"Champaran Style Mutton, Gunpowder Idli, Coktails, Sev Puri, Haleem, Chocolate Dessert"
Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",1300," Vijay Nagar, New Delhi",4.8,5228,4.1,2037,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi,"G 14, Hudson Lane, Vijay Nagar, New Delhi",9.17E+11,28.69448281,77.2042758,"Peri Peri Chicken Skewer, Tropical Heaven Sundae, Chicken Cannelloni, Banana Nutella Crepe, Chipotle Pizza, Blueberry Ice Cream"
Sana-Di-Ge,"Mangalorean, Seafood, Goan, South Indian, North Indian, Kerala",2200," Chanakyapuri, New Delhi",4.8,2038,4.3,172,https://www.zomato.com/ncr/sana-di-ge-chanakyapuri-new-delhi,"22/48, Ground Floor, First Floor And Second Floor, Commercial Complex, Malcha Marg, Chanakayapuri, New Delhi",9.11E+11,28.60191756,77.18709189,"Interiors and the outdoor seating , along with Seafood and authentic South Indian delicacies"
Yum Yum Cha,"Asian, Japanese, Sushi, Desserts, Beverages, Rolls",1800," Cyber Hub, DLF Cyber City, Gurgaon",4.8,1742,4.2,643,https://www.zomato.com/ncr/yum-yum-cha-dlf-cyber-city,"2E, Ground Floor, Tower-A, Building 10, DLF Cyber City, Gurgaon",9.20E+11,28.4950508,77.0876302,"Spicy Basil Noodle, Takoyaki, Crispy Corn Cakes, Chilli Bowl, Sashimi Platter, Mochi Ice Cream"
Coast Cafe,"Continental, Kerala",1400," Hauz Khas Village, New Delhi",4.8,1472,4.3,2115,https://www.zomato.com/ncr/coast-cafe-hauz-khas-village-new-delhi,"H-2, 2nd & 3rd Floor, Hauz Khas Village, New Delhi",9.11E+11,28.55481538,77.19520323,"Garam Curry Chicken, Aubergine Curry, Masala Fish Curry, Kerala Fish Fry, Kokum Curry, Avial"
Gulati,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab",2500," Pandara Road Market, New Delhi",4.7,6509,4.3,10500,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi,"6, Pandara Road Market, New Delhi",9.11E+11,28.608007,77.23014,"Paneer Gilafi, Neza Kebab, Shahi Veg Platter, Handi Gosht, Methi Paneer, Hyderabadi Veg Biryani"
Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",4000," Mehrauli, New Delhi",4.7,2734,3.2,21,https://www.zomato.com/ncr/olive-bar-kitchen-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",9.20E+11,28.52577788,77.18435403,"Cheese Souffle, Fettucine, Scallops, Gnocchi, Sunday Brunches, Date Night"
The Grammar Room,"Continental, Desserts, Beverages",1200," Mehrauli, New Delhi",4.7,1068,3.9,20,https://www.zomato.com/ncr/the-grammar-room-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",9.17E+11,28.52594107,77.1843309,"Mushroom Melt, Spicy Fries, French Toast, Dessert Counter, Cookie, Mocha"
Bo Tai,"Thai, Japanese, Asian, Beverages",2500," Mehrauli, New Delhi",4.7,1194,3.9,46,https://www.zomato.com/ncr/bo-tai-1-mehrauli-new-delhi,"6/4, Kalka Das Marg, Near Qutub Minar, Mehrauli, New Delhi",9.20E+11,28.52563884,77.18419746,The restaurant uses Bamboo and Copper straws as eco-friendly alternatives.
Cafe Wink,"Cafe, Continental, Italian",800," Anand Vihar, New Delhi",4.7,3291,4.3,6149,https://www.zomato.com/ncr/cafe-wink-anand-vihar-new-delhi,"G-1, Plot 9, Sikka Galaxy, Shreshtha Vihar, Anand Vihar, New Delhi",9.18E+11,28.6573105,77.3171005,"Bbq Spaghetti, Bbq Lasagna, Veg Omelette, Spaghetti Arrabiata, Pasta Al Forno, Exotica Garlic Bread"
Greenr Cafe,"Cafe, Italian, Mexican, Salad, Healthy Food, Desserts, Mediterranean",1200,"  32nd Avenue, NH8, Gurgaon, Gurgaon",4.7,954,4.3,619,https://www.zomato.com/ncr/greenr-cafe-sector-15,"EL-01, 1st Floor, 32nd Milestone, NH 8, Part 2, Sector 15, Gurgaon",9.17E+11,28.4615361,77.04978224,"A conscious and community oriented space, focussed on nutritive and processed-food-free vegetarianism. Engaging art and lifestyle workshops are an integral part of our experiential cafe."
Chili's Grill & Bar,"Mexican, Italian, American, Tex-Mex, Beverages, Desserts",1200," Pacific Mall, Tagore Garden, New Delhi",4.7,3956,4.3,3545,https://www.zomato.com/ncr/chilis-grill-bar-tagore-garden-new-delhi,"S 8 & 9, 2nd Floor, Pacific Mall, Tagore Garden, New Delhi",9.20E+11,28.64220025,77.10657667,"Molten Chocolate Chunk, Cajun Pasta, Smoked Chicken Leg, Santa Fe Salad, Tripple Dipper, Grilled Chicken Fajita"
