Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2
The Categorical Eat Pham,"North Eastern, Chinese, Naga",600," Safdarjung, New Delhi",4.2,300,4.2,1573,https://www.zomato.com/ncr/the-categorical-eat-pham-safdarjung-new-delhi,"168, Ground Floor, Humayunpur, Safdarjung Enclave, Safdarjung, New Delhi",9.11142E+11,28.56148043,77.19390772,"Smoked Pork Curry, Duck Curry, Fish Thali, Chicken Thali, Sticky Rice, Fish Curry"
Royal China,"Chinese, Asian, Cantonese, Seafood, Desserts",2200," Nehru Place, New Delhi",4.2,1431,4.2,3417,https://www.zomato.com/ncr/royal-china-nehru-place-new-delhi,"Eros Corporate Tower, 16th Floor, Nehru Place, New Delhi",9.1115E+11,28.56043975,77.24669594,Fusion of Chinese and Cantonese cuisine; view of Bahai temple fom 16th floor
Mazaar,"Kebab, Afghan",800," Lajpat Nagar 2, New Delhi",4.2,526,4.2,3306,https://www.zomato.com/ncr/mazaar-lajpat-nagar-2-new-delhi,"I-78, Lajpat Nagar 2, New Delhi",9.11142E+11,28.57027778,77.24440131,"Sheer Yakh, Afghani Pulao, Lamb Ribs, Mixed Vegetables, Skewers, Rajma"
Ka Eclairs & Kafe,"Cafe, Bakery, Burger, Italian, Pizza, Salad, Fast Food, Beverages",950," Sector 18, Noida",4.2,1054,3.9,1000,https://www.zomato.com/ka-eclairs-kafe,"G-50, Ground Floor, Sector 18, Noida",9.11204E+11,28.56959054,77.32419033,"Tiramisu Pastry, Eclairs, Black Forest Pastry, Truffle Pastry, Blueberry Cheese Cake, Fresh Fruit Cake"
Star Crust,"Fast Food, Chinese, Desserts, Beverages",500," Sector 7, Faridabad",4.2,1107,4.2,2000,https://www.zomato.com/ncr/star-crust-sector-7-faridabad,"2597, HBC, Sector 7, Faridabad",9.19655E+11,28.36935683,77.3278901,"Peri Peri Pizza, Kit Kat Shake, Mixed Sauce Pasta, Pastas, Pizzas, Oreo Shake"
Dashi Dimsum & Sushi Bar,"Asian, Japanese, Sushi, Chinese, Desserts",800," Punjabi Bagh, New Delhi",4.2,325,4.2,3236,https://www.zomato.com/ncr/dashi-dimsum-sushi-bar-punjabi-bagh-new-delhi,"Studio 4, 49/43, AKS Complex, Punjabi Bagh, New Delhi",9.19911E+11,28.67104793,77.13471439,"Smoked Salmon Roll, Wasabi Roll, Poke Bowl, Sushi, Dimsum, Fish"
Slic Chic,"Chinese, Salad, Momos, Beverages",500," Shalimar Bagh, New Delhi",4.2,475,4.0,1734,https://www.zomato.com/ncr/slic-chic-shalimar-bagh-new-delhi,"2, BS Market, Shalimar Bagh, New Delhi",9.19954E+11,28.7059,77.1573,"Drum Sticks, Honey Chilli Potatoes, Chilli Garlic Noodles, Noodles, Chinese Food, Pasta"
Foxtrot,"Continental, Italian, European, Modern Indian, Beverages, North Indian",1000," DLF Cyber City, Gurgaon",4.2,264,3.9,23,https://www.zomato.com/ncr/foxtrot-dlf-cyber-city,"Unit 2 C, Under Ground Floor, Building 10, DLF Cyber City, Gurgaon",9.11244E+11,28.4949917,77.087685,"Fusion Taco, Mustard Aioli, Chicken 65, Pao Bhaji, Kulcha, Drink"
Dingdong Pizza By Big Wong,"Pizza, Italian, Fast Food",700," Sector 29, Gurgaon",4.2,488,4.1,5128,https://www.zomato.com/ncr/dingdong-pizza-by-big-wong-sector-29,"387, First Floor, Sco Complex, Near IFFCO Chowk Metro Station, Sector 29, Gurgaon",9.1801E+11,28.471685,77.071197,"Salted Caramel Shake, Cheesiest Pizza, Paneer Makhni Pizza, Butter Chicken Pizza, Cheese Roll, Lasagna"
Cafe on 3 - Holiday Inn,"Continental, Chinese, Thai, Mediterranean",2000," Holiday Inn, Mayur Vihar, New Delhi",4.2,507,3.6,39,https://www.zomato.com/ncr/cafe-on-3-holiday-inn-mayur-vihar-new-delhi,"Holiday Inn, 13 A, District Centre, Mayur Vihar Phase 1, New Delhi",9.18861E+11,28.58997582,77.29838312,"Dinner Buffet, Shawarma, Deserts, Starter, Mocktails, Sweets"
Tikka Junction Courtyard,"North Indian, Chinese, Fast Food, Desserts, Beverages",800," Malviya Nagar, New Delhi",4.2,442,4.0,3856,https://www.zomato.com/ncr/tikka-junction-courtyard-malviya-nagar-new-delhi,"LLP 3, MMTC Market, Opposite Aurobindo College, Malviya Nagar, New Delhi",9.19718E+11,28.53299146,77.20367264,"Paneer Papdi, Soya Malai Tikka, Tandoori Spring Roll, Bhatti Chicken, Butter Chicken Pizza, Fried Rice"
TC Bar & Restaurant,"North Indian, Continental, Finger Food",1300," Adchini, New Delhi",4.2,978,3.2,46,https://www.zomato.com/ncr/tc-bar-restaurant-adchini-new-delhi,"81, Sri Aurobindo Marg, MMTC Colony, Adchini, New Delhi",9.19811E+11,28.53559588,77.19758235,Best rock night in town with DJ Sagar every Friday and Saturday!
Shikhara,"North Indian, Mughlai",1000," Greater Kailash 1 (GK1), New Delhi",4.2,452,4.1,1395,https://www.zomato.com/ncr/shikhara-greater-kailash-gk-1-new-delhi,"4, Guru Nanak Market, R Block, Greater Kailash (GK) 1, New Delhi",9.11126E+11,28.5469689,77.24400837,"Saag Chicken, Tandoori Prawns, Chicken Tikka Masala, Fish Tikka, Malai Kofta, Butter Chicken"
Changezi Chicken,"North Indian, Mughlai",550," Daryaganj, New Delhi",4.2,817,3.9,296,https://www.zomato.com/ncr/changezi-chicken-daryaganj-new-delhi,"3614, N.S.Marg, Daryaganj, New Delhi",9.17065E+11,28.64366854,77.2404246,"Chicken Nihari, Changezi Chicken, Phirni, Rumali Roti, Malai Tikka, Butter Chicken"
Flavours Of Magadh,"North Indian, Mughlai, Bihari",600," Sector 52, Noida",4.2,474,3.9,1530,https://www.zomato.com/ncr/flavours-of-magadh-sector-52-noida,"Shop 8/9, Harishchand Market, Axis Bank ATM, Sector 73, Near Sector 72, Noida",9.19818E+11,28.580792,77.383225,"Mushroom Matar Masala, Paneer Masala Tikka, Chicken Keema Masala, Dahi Sholey, Veg Executive Thali, Veg Jalfrezi"
Pandit Ji Paranthe Wale,North Indian,200," Ashok Vihar Phase 2, New Delhi",4.2,2510,3.8,6336,https://www.zomato.com/ncr/pandit-ji-paranthe-wale-ashok-vihar-phase-2-new-delhi,"Shop 1&2, LSC Plot 15, Ashok Vihar Phase 2, New Delhi",9.19654E+11,28.69649003,77.17982613,"Anda Parantha, Mix Paratha, Kadhi Chawal, Aloo Pyaz Paratha, Tea"
